"ID" "Perioden" "TotaalArbeidsongeschiktheidsuitkeringen_1" "WAOUitkeringen_2" "WajongUitkeringen_3" "WAZUitkeringen_4" "TotaalWIAUitkeringen_5" "IVAUitkeringen_6" "WGAUitkeringen_7" "NietSeizoengecorrigeerd_8" "Seizoengecorrigeerd_9" "TotaalWWBUitkeringen_10" "WWBUitkeringenTotDeAOWLeeftijd_11" "WWBUitkeringenVanafDeAOWLeeftijd_12" "IOAWUitkeringen_13" "IOAZUitkeringen_14" "AOWUitkeringen_15" "AnwUitkeringen_16" "AKWUitkeringen_17" "Perioden_C"
138 "2008MM09" 839.6 570.4 175.5 39.6 54 12.4 41.6 161.4 166.4 295.2 262.2 33 6.1 1.6 2714.3 117.6 1940.4 "2008 september"
139 "2008MM10" 839.3 567.4 176.5 39.3 56 12.9 43.1 160.8 165.9 293.6 260.4 33.3 6.1 1.6 2721.5 116.9 NA "2008 oktober"
140 "2008MM11" 838.6 564 177.7 39 57.9 13.4 44.5 163.7 166.4 292.6 259.2 33.4 6.2 1.5 2727.2 116.2 NA "2008 november"
141 "2008MM12" 837.5 561.2 178.2 38.7 59.5 13.9 45.6 170.8 170.6 292.3 258.8 33.6 6.3 1.5 2734.5 115.2 1929.7 "2008 december"
142 "2008JJ00" 842.1 580 172.4 40.7 48.9 11.1 37.8 174.6 NA 299.3 267 32.3 6 1.6 2695.6 119.7 1935.2 "2008"
143 "2009MM01" 837.2 557.7 179.4 38.3 61.7 14.4 47.3 182.7 177.6 292.6 258.8 33.7 6.5 1.5 2737.9 114.8 NA "2009 januari"
144 "2009MM02" 837 554.8 180.5 38 63.7 15 48.7 190.9 183.4 294.6 260.6 34 6.6 1.5 2741.6 114.1 NA "2009 februari"
145 "2009MM03" 835.9 551.4 181.2 37.6 65.6 15.5 50 197.8 191.9 297.3 263.1 34.2 6.9 1.5 2749 113.3 1935.1 "2009 maart"
146 "2009MM04" 834.8 548.2 182 37.3 67.2 16 51.2 205.1 201.7 299.8 265.4 34.4 7 1.5 2755.8 112.6 NA "2009 april"
147 "2009MM05" 833.5 545 183.1 36.9 68.5 16.3 52.2 210.7 210.6 301.8 267.3 34.5 7.1 1.5 2763.1 111.9 NA "2009 mei"
148 "2009MM06" 832.6 541.9 184.2 36.6 70 16.6 53.3 220.2 221.6 304.7 270.1 34.6 7.3 1.5 2768.4 111.2 1938.6 "2009 juni"
149 "2009MM07" 832.4 538.8 185.5 36.2 71.8 17.2 54.7 229.7 232.2 307.9 272.8 35.1 7.5 1.5 2778.2 110.4 NA "2009 juli"
150 "2009MM08" 832 535.9 186.7 35.9 73.4 17.6 55.8 237.1 240.4 309.6 274.4 35.2 7.6 1.5 2785.8 109.5 NA "2009 augustus"
151 "2009MM09" 831.5 532.6 187.8 35.6 75.5 18.1 57.3 241.6 248.4 310.2 274.9 35.3 7.7 1.4 2793.6 108.7 1942.8 "2009 september"
152 "2009MM10" 832.8 529.8 189.2 35.3 78.6 18.9 59.6 250.4 258.5 311.8 276.3 35.5 7.8 1.4 2800.2 108.2 NA "2009 oktober"
153 "2009MM11" 834 527.5 190.6 35 80.9 19.6 61.3 258.6 265 313.6 278 35.6 8 1.4 2805.3 107.5 NA "2009 november"
154 "2009MM12" 834.1 524.9 191.7 34.7 82.8 20.1 62.8 269.9 271.7 316.6 280.8 35.8 8.2 1.4 2812.9 106.5 1932.7 "2009 december"
155 "2009JJ00" 834.1 542.2 184.6 36.6 70.7 16.9 53.8 220.4 NA 304 269.3 34.7 7.3 1.5 2771.1 111.1 1936.9 "2009"
156 "2010MM01" 831.5 518.8 193.4 33.8 85.5 20.8 64.7 283.2 273.9 320.1 284.2 35.9 8.3 1.5 2817.5 106.1 NA "2010 januari"
157 "2010MM02" 831 515.4 194.4 33.5 87.7 21.5 66.2 289.6 277.8 324.1 287.9 36.2 8.5 1.5 2823 105.4 NA "2010 februari"
158 "2010MM03" 830 512 195.1 33.1 89.8 22.2 67.6 281.8 273.4 328.6 292.1 36.5 8.7 1.4 2831.4 104.6 1938.4 "2010 maart"
159 "2010MM04" 828.4 507.7 195.8 32.7 92.1 22.8 69.3 274.7 270.9 332.6 295.8 36.7 8.8 1.5 2839.6 103.8 NA "2010 april"
